Date,Country,Continent,Disaster_Type,Magnitude,Affected_Area_sqkm,Duration_Days,Infrastructure_Damage,Fatalities,Evacuated_People,Economic_Damage_Millions,Alert_Level,International_Aid_Required
25/08/2022,הודו,אסיה,שריפת יער,סכנה קיצונית,15585,11,הרס נרחב,54,12492,1136,גבוהה,כן
31/12/2010,אינדונזיה,אסיה,צונאמי,גלים בגובה 6 מטר,249,1,נזק קל בלבד,240,15014,1759,קריטית,כן
16/11/2007,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 5 מטר,281,2,נזק קל בלבד,216,28009,1795,קריטית,כן
12/04/2021,יפן,אסיה,שיטפון,מפלס מים 3.2 מטר,1522,12,נזק קל בלבד,80,14137,1219,קריטית,כן
23/10/2005,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,14171,43,נזק קל בלבד,163,33016,535,קריטית,כן
23/07/2005,הודו,אסיה,רעידת אדמה,6.1 ריכטר,121,2,הרס נרחב,266,15244,120,קריטית,כן
22/01/2023,אוסטרליה,אוקיאניה,רעידת אדמה,7.6 ריכטר,434,1,הרס נרחב,170,417,209,קריטית,כן
11/09/2007,הודו,אסיה,הוריקן,דרגה 3,4406,9,קריסת מערכות מוחלטת,93,47307,1292,קריטית,כן
15/05/2024,קנדה,צפון אמריקה,שריפת יער,סכנה קיצונית,17304,54,נזק קל בלבד,101,12453,443,גבוהה,כן
10/08/2018,אינדונזיה,אסיה,רעידת אדמה,8.1 ריכטר,604,3,קריסת מערכות מוחלטת,268,32591,880,קריטית,כן
13/08/2013,מקסיקו,צפון אמריקה,רעידת אדמה,5.1 ריכטר,606,3,נזק קל בלבד,173,17004,1265,קריטית,כן
28/12/2020,אוסטרליה,אוקיאניה,הוריקן,דרגה 5,1433,3,נזק קל בלבד,130,4077,92,גבוהה,כן
19/01/2005,צ'ילה,דרום אמריקה,רעידת אדמה,6.1 ריכטר,658,2,הרס נרחב,112,883,1818,קריטית,כן
06/09/2008,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 11 מטר,248,2,הרס נרחב,206,9428,1898,קריטית,כן
11/07/2008,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,6948,6,נזק חלקי לתשתיות,84,15344,1349,קריטית,כן
20/06/2004,קנדה,צפון אמריקה,שריפת יער,סכנה קיצונית,2813,54,נזק חלקי לתשתיות,87,30190,150,גבוהה,כן
13/05/2020,יפן,אסיה,צונאמי,גלים בגובה 7 מטר,112,3,נזק חלקי לתשתיות,214,17857,477,קריטית,כן
03/10/2006,אינדונזיה,אסיה,הוריקן,דרגה 4,2392,8,קריסת מערכות מוחלטת,34,28329,1942,קריטית,כן
13/10/2001,מקסיקו,צפון אמריקה,צונאמי,גלים בגובה 15 מטר,51,3,נזק קל בלבד,206,23840,1951,קריטית,כן
22/04/2025,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 9 מטר,264,3,הרס נרחב,51,40516,494,גבוהה,כן
27/10/2023,צ'ילה,דרום אמריקה,שריפת יער,סכנה קיצונית,13846,53,קריסת מערכות מוחלטת,295,34775,1264,קריטית,כן
28/03/2014,טורקיה,אירופה,הוריקן,דרגה 5,13745,14,נזק קל בלבד,185,37037,1655,קריטית,כן
24/06/2007,מקסיקו,צפון אמריקה,הוריקן,דרגה 4,11735,13,הרס נרחב,0,41573,482,גבוהה,כן
23/08/2011,קנדה,צפון אמריקה,הוריקן,דרגה 3,12776,12,הרס נרחב,258,6426,162,קריטית,כן
21/05/2016,"ארה""ב",צפון אמריקה,הוריקן,דרגה 4,7716,8,הרס נרחב,117,33827,1423,קריטית,כן
21/04/2013,הודו,אסיה,שריפת יער,סכנה קיצונית,11523,26,נזק חלקי לתשתיות,242,20390,1787,קריטית,כן
16/02/2019,טורקיה,אירופה,הוריקן,דרגה 4,4301,13,הרס נרחב,260,33646,3,קריטית,כן
09/11/2011,הודו,אסיה,צונאמי,גלים בגובה 5 מטר,244,1,הרס נרחב,64,30133,1952,קריטית,כן
04/04/2005,איטליה,אירופה,הוריקן,דרגה 2,4949,4,הרס נרחב,197,40688,1479,קריטית,כן
26/08/2017,איטליה,אירופה,צונאמי,גלים בגובה 11 מטר,78,3,קריסת מערכות מוחלטת,26,18170,473,קריטית,כן
18/06/2021,איטליה,אירופה,שיטפון,מפלס מים 2.1 מטר,1602,30,קריסת מערכות מוחלטת,165,8093,1136,קריטית,כן
05/06/2001,"ארה""ב",צפון אמריקה,שריפת יער,סכנה קיצונית,9407,45,קריסת מערכות מוחלטת,32,11223,1879,קריטית,כן
17/12/2009,טורקיה,אירופה,שריפת יער,סכנה קיצונית,22944,10,נזק קל בלבד,3,11468,1711,קריטית,כן
18/07/2008,הודו,אסיה,שריפת יער,סכנה קיצונית,9686,44,נזק קל בלבד,109,8876,1405,קריטית,כן
26/12/2021,הודו,אסיה,רעידת אדמה,5.1 ריכטר,628,2,נזק קל בלבד,281,8794,843,קריטית,כן
15/08/2022,יפן,אסיה,שריפת יער,סכנה קיצונית,1206,24,קריסת מערכות מוחלטת,277,36219,203,קריטית,כן
23/11/2008,צ'ילה,דרום אמריקה,הוריקן,דרגה 3,4353,7,הרס נרחב,285,45177,237,קריטית,כן
28/06/2025,איטליה,אירופה,שריפת יער,סכנה קיצונית,4394,7,נזק חלקי לתשתיות,259,32196,1710,קריטית,כן
09/07/2003,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,1988,31,קריסת מערכות מוחלטת,38,27070,812,קריטית,כן
13/07/2004,טורקיה,אירופה,שיטפון,מפלס מים 0.7 מטר,1316,11,נזק חלקי לתשתיות,94,48231,752,גבוהה,כן
23/04/2002,יפן,אסיה,צונאמי,גלים בגובה 5 מטר,249,2,נזק חלקי לתשתיות,208,30631,256,קריטית,כן
20/02/2013,הודו,אסיה,שריפת יער,סכנה קיצונית,11391,45,קריסת מערכות מוחלטת,280,9266,357,קריטית,כן
25/11/2003,"ארה""ב",צפון אמריקה,רעידת אדמה,4.5 ריכטר,661,4,הרס נרחב,267,19550,1192,קריטית,כן
12/06/2005,טורקיה,אירופה,שריפת יער,סכנה קיצונית,18827,51,נזק חלקי לתשתיות,119,37124,1437,קריטית,כן
24/04/2017,איטליה,אירופה,צונאמי,גלים בגובה 4 מטר,43,2,הרס נרחב,41,15969,1455,קריטית,כן
14/04/2013,אינדונזיה,אסיה,שיטפון,מפלס מים 3.1 מטר,2543,18,הרס נרחב,94,13637,1408,קריטית,כן
05/05/2007,אוסטרליה,אוקיאניה,צונאמי,גלים בגובה 4 מטר,68,2,נזק חלקי לתשתיות,227,41763,90,קריטית,כן
22/04/2021,איטליה,אירופה,הוריקן,דרגה 4,13887,6,נזק חלקי לתשתיות,40,8294,242,בינונית,לא
05/09/2000,מקסיקו,צפון אמריקה,הוריקן,דרגה 4,3687,4,נזק חלקי לתשתיות,146,5381,1103,גבוהה,כן
28/07/2006,טורקיה,אירופה,שריפת יער,סכנה קיצונית,5985,27,נזק חלקי לתשתיות,91,43628,1993,קריטית,כן
20/09/2000,טורקיה,אירופה,צונאמי,גלים בגובה 11 מטר,55,3,קריסת מערכות מוחלטת,212,15570,616,קריטית,כן
04/09/2023,צ'ילה,דרום אמריקה,שיטפון,מפלס מים 2.3 מטר,1028,22,נזק קל בלבד,79,7642,261,גבוהה,כן
07/03/2006,צ'ילה,דרום אמריקה,הוריקן,דרגה 1,1694,6,נזק קל בלבד,59,39664,944,גבוהה,כן
05/12/2018,קנדה,צפון אמריקה,צונאמי,גלים בגובה 5 מטר,34,2,קריסת מערכות מוחלטת,229,35114,1555,קריטית,כן
09/06/2020,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 11 מטר,138,1,קריסת מערכות מוחלטת,115,36145,140,קריטית,כן
04/02/2008,טורקיה,אירופה,שיטפון,מפלס מים 2.6 מטר,418,6,נזק חלקי לתשתיות,181,20796,1093,קריטית,כן
22/01/2019,הודו,אסיה,רעידת אדמה,4.6 ריכטר,521,2,קריסת מערכות מוחלטת,96,10554,836,קריטית,כן
21/05/2017,צ'ילה,דרום אמריקה,הוריקן,דרגה 2,14420,11,נזק חלקי לתשתיות,55,2672,1736,קריטית,כן
07/11/2017,איטליה,אירופה,רעידת אדמה,6.4 ריכטר,754,2,קריסת מערכות מוחלטת,12,29485,1583,קריטית,כן
03/06/2018,טורקיה,אירופה,שיטפון,מפלס מים 1.3 מטר,899,30,נזק חלקי לתשתיות,166,17362,773,קריטית,כן
10/02/2020,קנדה,צפון אמריקה,צונאמי,גלים בגובה 7 מטר,66,2,קריסת מערכות מוחלטת,241,10439,240,קריטית,כן
21/08/2024,הודו,אסיה,שיטפון,מפלס מים 2.6 מטר,1112,7,קריסת מערכות מוחלטת,6,38668,390,קריטית,כן
29/01/2026,מקסיקו,צפון אמריקה,רעידת אדמה,5.5 ריכטר,454,3,הרס נרחב,115,21249,480,גבוהה,כן
25/01/2017,הודו,אסיה,הוריקן,דרגה 2,14195,3,קריסת מערכות מוחלטת,232,7618,1070,קריטית,כן
04/11/2016,אוסטרליה,אוקיאניה,צונאמי,גלים בגובה 3 מטר,224,3,קריסת מערכות מוחלטת,141,30596,303,קריטית,כן
07/07/2012,"ארה""ב",צפון אמריקה,שריפת יער,סכנה קיצונית,4651,38,נזק קל בלבד,232,23691,598,קריטית,כן
18/12/2003,הודו,אסיה,הוריקן,דרגה 3,9860,3,קריסת מערכות מוחלטת,228,46402,278,קריטית,כן
29/06/2009,מקסיקו,צפון אמריקה,שיטפון,מפלס מים 0.6 מטר,2452,28,נזק חלקי לתשתיות,202,10347,450,קריטית,כן
12/02/2018,הודו,אסיה,צונאמי,גלים בגובה 12 מטר,233,2,נזק חלקי לתשתיות,94,37713,1275,קריטית,כן
23/03/2006,קנדה,צפון אמריקה,שיטפון,מפלס מים 2.5 מטר,654,25,נזק קל בלבד,37,18754,706,גבוהה,כן
23/10/2020,איטליה,אירופה,שריפת יער,סכנה קיצונית,7135,51,נזק חלקי לתשתיות,274,24671,1294,קריטית,כן
19/07/2003,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,8618,46,נזק חלקי לתשתיות,93,9627,1254,קריטית,כן
31/01/2006,אוסטרליה,אוקיאניה,רעידת אדמה,6.2 ריכטר,488,4,קריסת מערכות מוחלטת,148,17400,1947,קריטית,כן
12/11/2004,איטליה,אירופה,רעידת אדמה,7.4 ריכטר,99,3,נזק קל בלבד,131,22779,902,גבוהה,לא
17/12/2019,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,4449,4,נזק קל בלבד,212,36510,194,קריטית,כן
27/12/2023,קנדה,צפון אמריקה,צונאמי,גלים בגובה 7 מטר,209,3,נזק קל בלבד,117,36882,1076,גבוהה,כן
04/09/2007,טורקיה,אירופה,הוריקן,דרגה 3,6923,4,קריסת מערכות מוחלטת,200,9063,1711,קריטית,כן
12/01/2005,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 2 מטר,123,1,הרס נרחב,162,9921,362,קריטית,כן
26/11/2004,קנדה,צפון אמריקה,צונאמי,גלים בגובה 11 מטר,166,3,נזק חלקי לתשתיות,166,31509,1502,קריטית,כן
08/12/2003,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,3202,47,הרס נרחב,141,21670,235,גבוהה,לא
27/08/2021,קנדה,צפון אמריקה,הוריקן,דרגה 5,2177,3,נזק קל בלבד,154,29101,699,קריטית,כן
10/03/2001,קנדה,צפון אמריקה,צונאמי,גלים בגובה 3 מטר,53,3,נזק חלקי לתשתיות,184,3035,1989,קריטית,כן
03/10/2024,אוסטרליה,אוקיאניה,שריפת יער,סכנה קיצונית,13727,51,נזק חלקי לתשתיות,63,43610,1105,גבוהה,כן
12/06/2000,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,5522,17,הרס נרחב,263,46426,1258,קריטית,כן
30/03/2014,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,21063,29,הרס נרחב,251,7133,1905,קריטית,כן
07/08/2021,צ'ילה,דרום אמריקה,רעידת אדמה,6.0 ריכטר,451,1,נזק קל בלבד,242,43452,1123,קריטית,כן
08/01/2018,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,1708,7,קריסת מערכות מוחלטת,193,31104,1871,קריטית,כן
12/05/2009,מקסיקו,צפון אמריקה,הוריקן,דרגה 1,3262,3,קריסת מערכות מוחלטת,151,26985,642,קריטית,כן
04/06/2020,הודו,אסיה,הוריקן,דרגה 1,10355,5,נזק חלקי לתשתיות,25,29184,289,בינונית,לא
28/07/2024,אינדונזיה,אסיה,צונאמי,גלים בגובה 15 מטר,163,3,הרס נרחב,11,35106,16,גבוהה,כן
06/09/2005,טורקיה,אירופה,רעידת אדמה,7.5 ריכטר,243,1,קריסת מערכות מוחלטת,63,26068,694,קריטית,כן
07/07/2014,קנדה,צפון אמריקה,רעידת אדמה,4.9 ריכטר,194,3,נזק קל בלבד,102,33493,475,גבוהה,כן
04/04/2022,אינדונזיה,אסיה,הוריקן,דרגה 2,11872,5,נזק קל בלבד,69,20117,955,גבוהה,לא
02/09/2024,קנדה,צפון אמריקה,צונאמי,גלים בגובה 13 מטר,74,1,נזק חלקי לתשתיות,98,23656,1589,קריטית,כן
10/06/2000,קנדה,צפון אמריקה,רעידת אדמה,7.2 ריכטר,538,2,קריסת מערכות מוחלטת,194,42512,1563,קריטית,כן
27/03/2024,אינדונזיה,אסיה,הוריקן,דרגה 3,8727,14,קריסת מערכות מוחלטת,217,26201,92,קריטית,כן
07/12/2007,איטליה,אירופה,שריפת יער,סכנה קיצונית,20598,38,הרס נרחב,228,20794,792,קריטית,כן
18/10/2017,"ארה""ב",צפון אמריקה,שיטפון,מפלס מים 2.9 מטר,1134,11,הרס נרחב,78,44849,1784,קריטית,כן
15/01/2000,קנדה,צפון אמריקה,הוריקן,דרגה 2,9247,11,נזק חלקי לתשתיות,289,24139,126,קריטית,כן
10/07/2011,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 1.2 מטר,2712,27,קריסת מערכות מוחלטת,28,10534,1112,קריטית,כן
19/08/2016,קנדה,צפון אמריקה,שיטפון,מפלס מים 2.0 מטר,755,11,קריסת מערכות מוחלטת,191,45593,780,קריטית,כן
17/02/2021,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,16476,60,נזק קל בלבד,12,46774,1973,קריטית,כן
07/07/2006,הודו,אסיה,שריפת יער,סכנה קיצונית,1062,57,נזק קל בלבד,92,8213,1901,קריטית,כן
25/12/2022,יפן,אסיה,שריפת יער,סכנה קיצונית,20886,50,קריסת מערכות מוחלטת,149,10446,576,קריטית,כן
05/11/2020,אינדונזיה,אסיה,צונאמי,גלים בגובה 9 מטר,253,3,קריסת מערכות מוחלטת,14,3534,1747,קריטית,כן
31/10/2018,יפן,אסיה,הוריקן,דרגה 3,3766,2,נזק קל בלבד,246,40923,395,קריטית,כן
27/02/2010,יפן,אסיה,שיטפון,מפלס מים 1.5 מטר,2466,19,הרס נרחב,65,13245,1306,קריטית,כן
13/12/2006,טורקיה,אירופה,רעידת אדמה,4.7 ריכטר,199,1,נזק קל בלבד,190,34882,779,קריטית,כן
28/08/2004,צ'ילה,דרום אמריקה,צונאמי,גלים בגובה 8 מטר,248,2,קריסת מערכות מוחלטת,298,1971,1489,קריטית,כן
03/06/2012,מקסיקו,צפון אמריקה,צונאמי,גלים בגובה 11 מטר,240,3,הרס נרחב,49,19005,833,גבוהה,כן
31/07/2025,איטליה,אירופה,שיטפון,מפלס מים 2.9 מטר,2311,8,נזק חלקי לתשתיות,157,11164,418,קריטית,כן
04/06/2007,צ'ילה,דרום אמריקה,צונאמי,גלים בגובה 13 מטר,80,1,הרס נרחב,157,45783,1904,קריטית,כן
20/03/2018,צ'ילה,דרום אמריקה,הוריקן,דרגה 1,8255,7,הרס נרחב,198,25458,584,קריטית,כן
04/05/2003,יפן,אסיה,הוריקן,דרגה 2,12602,5,קריסת מערכות מוחלטת,78,41526,717,קריטית,כן
22/04/2004,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,14292,9,נזק חלקי לתשתיות,98,4745,1752,קריטית,כן
05/03/2001,צ'ילה,דרום אמריקה,הוריקן,דרגה 5,6684,3,נזק חלקי לתשתיות,42,37399,1,בינונית,לא
29/02/2020,אינדונזיה,אסיה,שיטפון,מפלס מים 3.1 מטר,2951,6,נזק חלקי לתשתיות,160,16830,225,קריטית,כן
23/10/2008,הודו,אסיה,שיטפון,מפלס מים 3.9 מטר,1482,20,נזק קל בלבד,74,30549,1045,גבוהה,כן
21/07/2023,אינדונזיה,אסיה,רעידת אדמה,4.9 ריכטר,631,3,נזק קל בלבד,171,38932,1845,קריטית,כן
29/06/2011,קנדה,צפון אמריקה,רעידת אדמה,6.9 ריכטר,484,3,נזק קל בלבד,292,16900,1358,קריטית,כן
30/07/2017,"ארה""ב",צפון אמריקה,שריפת יער,סכנה קיצונית,8893,58,נזק קל בלבד,277,49828,1944,קריטית,כן
28/11/2008,קנדה,צפון אמריקה,שיטפון,מפלס מים 1.5 מטר,791,24,קריסת מערכות מוחלטת,288,8238,1010,קריטית,כן
08/05/2001,טורקיה,אירופה,רעידת אדמה,8.0 ריכטר,671,4,נזק קל בלבד,138,146,236,גבוהה,לא
17/04/2006,יפן,אסיה,הוריקן,דרגה 1,5934,9,נזק חלקי לתשתיות,161,23692,55,קריטית,כן
05/09/2018,יפן,אסיה,צונאמי,גלים בגובה 13 מטר,70,3,נזק חלקי לתשתיות,266,42033,1616,קריטית,כן
08/05/2020,הודו,אסיה,שיטפון,מפלס מים 1.5 מטר,2462,4,נזק חלקי לתשתיות,265,44620,569,קריטית,כן
07/08/2008,אוסטרליה,אוקיאניה,הוריקן,דרגה 5,4370,6,נזק חלקי לתשתיות,21,46115,1769,קריטית,כן
11/10/2009,יפן,אסיה,שריפת יער,סכנה קיצונית,18880,49,נזק חלקי לתשתיות,107,49634,681,גבוהה,כן
30/10/2022,אינדונזיה,אסיה,שיטפון,מפלס מים 3.9 מטר,656,6,נזק חלקי לתשתיות,261,11577,170,קריטית,כן
19/06/2009,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,21900,36,נזק קל בלבד,190,48642,249,קריטית,כן
19/03/2020,טורקיה,אירופה,שריפת יער,סכנה קיצונית,17100,7,קריסת מערכות מוחלטת,85,48953,1271,קריטית,כן
13/10/2014,יפן,אסיה,שריפת יער,סכנה קיצונית,3075,60,נזק קל בלבד,8,1072,1398,קריטית,כן
01/05/2024,אינדונזיה,אסיה,רעידת אדמה,8.4 ריכטר,237,1,קריסת מערכות מוחלטת,298,48534,1485,קריטית,כן
19/04/2014,אוסטרליה,אוקיאניה,צונאמי,גלים בגובה 14 מטר,22,2,קריסת מערכות מוחלטת,220,27070,718,קריטית,כן
10/01/2012,איטליה,אירופה,רעידת אדמה,6.3 ריכטר,761,3,הרס נרחב,83,40888,1840,קריטית,כן
18/11/2013,אוסטרליה,אוקיאניה,שריפת יער,סכנה קיצונית,21483,32,נזק חלקי לתשתיות,126,2583,1749,קריטית,כן
09/01/2017,איטליה,אירופה,שיטפון,מפלס מים 0.8 מטר,1438,15,הרס נרחב,284,16813,1923,קריטית,כן
21/04/2011,"ארה""ב",צפון אמריקה,רעידת אדמה,5.5 ריכטר,186,2,נזק קל בלבד,108,8578,1552,קריטית,כן
08/10/2015,יפן,אסיה,רעידת אדמה,7.8 ריכטר,300,3,נזק חלקי לתשתיות,86,37854,1186,גבוהה,כן
13/04/2014,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,22326,39,קריסת מערכות מוחלטת,204,26829,937,קריטית,כן
31/12/2005,מקסיקו,צפון אמריקה,צונאמי,גלים בגובה 12 מטר,259,2,נזק קל בלבד,32,48014,383,בינונית,לא
15/07/2003,צ'ילה,דרום אמריקה,הוריקן,דרגה 5,10190,2,נזק קל בלבד,102,11088,1746,קריטית,כן
27/03/2020,צ'ילה,דרום אמריקה,צונאמי,גלים בגובה 11 מטר,24,3,נזק קל בלבד,169,34329,1489,קריטית,כן
09/06/2025,איטליה,אירופה,הוריקן,דרגה 5,1395,13,נזק קל בלבד,162,24873,649,קריטית,כן
22/05/2008,"ארה""ב",צפון אמריקה,שיטפון,מפלס מים 1.4 מטר,2388,18,נזק חלקי לתשתיות,71,44450,1974,קריטית,כן
26/08/2006,טורקיה,אירופה,שריפת יער,סכנה קיצונית,24920,24,נזק חלקי לתשתיות,164,10396,754,קריטית,כן
03/03/2012,צ'ילה,דרום אמריקה,הוריקן,דרגה 5,7528,5,קריסת מערכות מוחלטת,39,15882,1431,קריטית,כן
18/12/2010,איטליה,אירופה,הוריקן,דרגה 1,5191,9,קריסת מערכות מוחלטת,23,25938,1656,קריטית,כן
20/09/2008,טורקיה,אירופה,שריפת יער,סכנה קיצונית,15839,58,נזק קל בלבד,72,19102,846,גבוהה,כן
07/06/2009,מקסיקו,צפון אמריקה,הוריקן,דרגה 3,4361,6,נזק קל בלבד,11,29068,465,בינונית,לא
22/05/2002,אוסטרליה,אוקיאניה,צונאמי,גלים בגובה 2 מטר,227,3,נזק חלקי לתשתיות,243,45600,1188,קריטית,כן
31/05/2018,הודו,אסיה,שיטפון,מפלס מים 2.9 מטר,2402,24,קריסת מערכות מוחלטת,154,23114,1365,קריטית,כן
01/07/2001,הודו,אסיה,הוריקן,דרגה 3,12862,6,נזק קל בלבד,188,36598,1182,קריטית,כן
21/05/2014,הודו,אסיה,שיטפון,מפלס מים 0.5 מטר,1552,8,נזק קל בלבד,253,18545,1065,קריטית,כן
30/06/2008,איטליה,אירופה,שריפת יער,סכנה קיצונית,10067,54,הרס נרחב,293,32003,1229,קריטית,כן
30/12/2019,"ארה""ב",צפון אמריקה,הוריקן,דרגה 3,8922,14,קריסת מערכות מוחלטת,91,17726,912,קריטית,כן
05/02/2006,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,5850,39,נזק חלקי לתשתיות,19,28145,1931,קריטית,כן
10/06/2013,מקסיקו,צפון אמריקה,הוריקן,דרגה 4,13737,2,נזק קל בלבד,84,42264,1128,גבוהה,לא
05/02/2023,יפן,אסיה,שריפת יער,סכנה קיצונית,22069,58,הרס נרחב,224,46758,160,קריטית,כן
16/10/2008,אינדונזיה,אסיה,רעידת אדמה,7.0 ריכטר,557,1,נזק קל בלבד,82,34356,673,גבוהה,לא
24/05/2015,אינדונזיה,אסיה,שיטפון,מפלס מים 1.3 מטר,1186,17,נזק קל בלבד,35,40710,444,בינונית,לא
14/03/2018,אוסטרליה,אוקיאניה,רעידת אדמה,6.1 ריכטר,537,3,קריסת מערכות מוחלטת,56,14356,1229,קריטית,כן
27/12/2004,צ'ילה,דרום אמריקה,רעידת אדמה,5.1 ריכטר,123,1,נזק קל בלבד,93,22394,241,גבוהה,כן
27/10/2016,צ'ילה,דרום אמריקה,צונאמי,גלים בגובה 12 מטר,120,3,נזק חלקי לתשתיות,175,39859,1386,קריטית,כן
02/02/2024,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,24083,32,הרס נרחב,178,1682,949,קריטית,כן
18/08/2024,"ארה""ב",צפון אמריקה,שריפת יער,סכנה קיצונית,12784,56,הרס נרחב,87,5807,1038,גבוהה,כן
12/09/2015,טורקיה,אירופה,הוריקן,דרגה 5,1275,3,נזק חלקי לתשתיות,227,44999,1378,קריטית,כן
03/04/2004,הודו,אסיה,הוריקן,דרגה 4,4713,6,נזק חלקי לתשתיות,115,41921,610,גבוהה,לא
05/02/2005,קנדה,צפון אמריקה,רעידת אדמה,7.7 ריכטר,544,1,נזק קל בלבד,285,4035,1862,קריטית,כן
09/05/2006,יפן,אסיה,הוריקן,דרגה 5,5614,3,נזק קל בלבד,12,34429,1246,קריטית,כן
24/10/2001,הודו,אסיה,שיטפון,מפלס מים 2.9 מטר,2063,10,קריסת מערכות מוחלטת,162,25422,1103,קריטית,כן
28/10/2023,אינדונזיה,אסיה,הוריקן,דרגה 1,11054,13,נזק חלקי לתשתיות,171,21799,867,קריטית,כן
25/01/2001,איטליה,אירופה,שריפת יער,סכנה קיצונית,20507,22,קריסת מערכות מוחלטת,104,47020,722,קריטית,כן
01/08/2018,אוסטרליה,אוקיאניה,רעידת אדמה,5.6 ריכטר,596,2,נזק חלקי לתשתיות,51,21235,732,גבוהה,לא
29/01/2015,טורקיה,אירופה,הוריקן,דרגה 3,6388,2,הרס נרחב,19,41486,762,גבוהה,לא
12/04/2013,טורקיה,אירופה,שריפת יער,סכנה קיצונית,658,15,קריסת מערכות מוחלטת,228,4880,1526,קריטית,כן
09/04/2019,טורקיה,אירופה,רעידת אדמה,5.1 ריכטר,331,3,נזק חלקי לתשתיות,130,9891,351,גבוהה,לא
03/05/2001,טורקיה,אירופה,הוריקן,דרגה 4,12175,6,הרס נרחב,246,48334,158,קריטית,כן
02/07/2015,קנדה,צפון אמריקה,שיטפון,מפלס מים 2.2 מטר,2170,4,נזק חלקי לתשתיות,149,23450,1701,קריטית,כן
06/01/2013,אינדונזיה,אסיה,רעידת אדמה,7.9 ריכטר,532,4,נזק חלקי לתשתיות,115,29302,1302,קריטית,כן
31/03/2014,אוסטרליה,אוקיאניה,הוריקן,דרגה 3,7326,5,הרס נרחב,47,48893,298,גבוהה,כן
12/10/2000,איטליה,אירופה,שריפת יער,סכנה קיצונית,3824,34,נזק קל בלבד,202,19308,898,קריטית,כן
05/01/2023,אינדונזיה,אסיה,שיטפון,מפלס מים 3.3 מטר,2943,22,נזק חלקי לתשתיות,28,46678,118,בינונית,לא
10/06/2003,יפן,אסיה,הוריקן,דרגה 3,5040,3,נזק חלקי לתשתיות,47,20559,464,בינונית,לא
