Date,Country,Continent,Disaster_Type,Magnitude,Affected_Area_sqkm,Infrastructure_Damage,Fatalities,Evacuated_People,Economic_Damage_Millions,Alert_Level,International_Aid_Required
27/03/2004,יפן,אסיה,הוריקן,דרגה 5,5447,קריסת מערכות מוחלטת,192,7236,261,קריטית,כן
06/03/2003,קנדה,צפון אמריקה,הוריקן,דרגה 5,13625,קריסת מערכות מוחלטת,256,41669,1771,קריטית,כן
17/06/2001,יפן,אסיה,הוריקן,דרגה 3,4762,קריסת מערכות מוחלטת,258,36640,1337,קריטית,כן
13/03/2011,הודו,אסיה,הוריקן,דרגה 2,12499,קריסת מערכות מוחלטת,42,29793,1423,קריטית,כן
29/10/2008,מקסיקו,צפון אמריקה,הוריקן,דרגה 1,13001,קריסת מערכות מוחלטת,130,42926,582,קריטית,כן
08/03/2018,מקסיקו,צפון אמריקה,הוריקן,דרגה 2,7755,קריסת מערכות מוחלטת,206,28449,864,קריטית,כן
20/05/2020,טורקיה,אירופה,הוריקן,דרגה 5,6468,קריסת מערכות מוחלטת,72,38993,837,קריטית,כן
01/10/2001,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,10840,קריסת מערכות מוחלטת,51,1107,762,קריטית,כן
17/03/2009,איטליה,אירופה,הוריקן,דרגה 4,13997,קריסת מערכות מוחלטת,266,21544,1496,קריטית,כן
09/01/2004,מקסיקו,צפון אמריקה,הוריקן,דרגה 1,9062,קריסת מערכות מוחלטת,82,11953,1454,קריטית,כן
26/09/2006,הודו,אסיה,הוריקן,דרגה 3,14219,קריסת מערכות מוחלטת,224,7054,177,קריטית,כן
14/08/2008,יפן,אסיה,הוריקן,דרגה 4,12893,קריסת מערכות מוחלטת,82,25517,1190,קריטית,כן
03/02/2006,"ארה""ב",צפון אמריקה,הוריקן,דרגה 5,7732,קריסת מערכות מוחלטת,23,35909,797,קריטית,כן
17/06/2001,צ'ילה,דרום אמריקה,הוריקן,דרגה 3,10797,קריסת מערכות מוחלטת,3,25277,1652,קריטית,כן
15/07/2013,צ'ילה,דרום אמריקה,הוריקן,דרגה 2,10399,קריסת מערכות מוחלטת,114,35564,975,קריטית,כן
05/02/2005,קנדה,צפון אמריקה,הוריקן,דרגה 2,5436,קריסת מערכות מוחלטת,121,43406,768,קריטית,כן
17/04/2008,צ'ילה,דרום אמריקה,הוריקן,דרגה 5,8256,קריסת מערכות מוחלטת,53,4253,1046,קריטית,כן
13/09/2020,קנדה,צפון אמריקה,הוריקן,דרגה 2,4998,קריסת מערכות מוחלטת,176,2810,1699,קריטית,כן
23/07/2004,"ארה""ב",צפון אמריקה,הוריקן,דרגה 3,11252,קריסת מערכות מוחלטת,246,14085,1505,קריטית,כן
17/12/2003,צ'ילה,דרום אמריקה,הוריקן,דרגה 1,4292,קריסת מערכות מוחלטת,59,1041,1451,קריטית,כן
06/04/2009,טורקיה,אירופה,הוריקן,דרגה 4,13727,קריסת מערכות מוחלטת,46,37850,846,קריטית,כן
29/07/2012,הודו,אסיה,הוריקן,דרגה 2,7177,קריסת מערכות מוחלטת,165,29606,1440,קריטית,כן
09/08/2022,"ארה""ב",צפון אמריקה,הוריקן,דרגה 1,10234,קריסת מערכות מוחלטת,226,13142,1552,קריטית,כן
02/02/2003,אינדונזיה,אסיה,הוריקן,דרגה 4,14743,קריסת מערכות מוחלטת,100,15695,589,קריטית,כן
18/10/2011,איטליה,אירופה,הוריקן,דרגה 3,7670,קריסת מערכות מוחלטת,85,34729,447,קריטית,כן
07/01/2021,אוסטרליה,אוקיאניה,הוריקן,דרגה 5,5001,קריסת מערכות מוחלטת,16,49418,768,קריטית,כן
12/06/2000,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,10964,קריסת מערכות מוחלטת,51,42590,933,קריטית,כן
28/03/2008,טורקיה,אירופה,הוריקן,דרגה 5,14539,קריסת מערכות מוחלטת,243,36650,1394,קריטית,כן
06/01/2024,צ'ילה,דרום אמריקה,הוריקן,דרגה 2,12024,קריסת מערכות מוחלטת,43,31457,1282,קריטית,כן
12/08/2024,אוסטרליה,אוקיאניה,הוריקן,דרגה 4,8027,קריסת מערכות מוחלטת,262,28507,235,קריטית,כן
25/06/2010,אינדונזיה,אסיה,הוריקן,דרגה 3,12836,קריסת מערכות מוחלטת,151,43578,49,קריטית,כן
12/06/2012,יפן,אסיה,הוריקן,דרגה 2,1962,קריסת מערכות מוחלטת,168,12388,1560,קריטית,כן
28/01/2016,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,7700,קריסת מערכות מוחלטת,290,489,825,קריטית,כן
12/03/2014,הודו,אסיה,הוריקן,דרגה 5,13509,קריסת מערכות מוחלטת,141,32362,295,קריטית,כן
17/12/2001,הודו,אסיה,הוריקן,דרגה 4,6322,קריסת מערכות מוחלטת,180,17457,1346,קריטית,כן
20/04/2023,יפן,אסיה,הוריקן,דרגה 5,4783,קריסת מערכות מוחלטת,76,14045,630,קריטית,כן
13/12/2021,קנדה,צפון אמריקה,הוריקן,דרגה 3,2872,קריסת מערכות מוחלטת,165,20789,490,קריטית,כן
29/05/2023,צ'ילה,דרום אמריקה,הוריקן,דרגה 2,14123,קריסת מערכות מוחלטת,171,36775,213,קריטית,כן
25/06/2004,אינדונזיה,אסיה,הוריקן,דרגה 2,5757,קריסת מערכות מוחלטת,11,28742,820,קריטית,כן
21/09/2004,טורקיה,אירופה,הוריקן,דרגה 4,12337,קריסת מערכות מוחלטת,86,40343,1983,קריטית,כן
09/11/2007,קנדה,צפון אמריקה,הוריקן,דרגה 5,13163,קריסת מערכות מוחלטת,120,22999,1524,קריטית,כן
25/11/2008,יפן,אסיה,הוריקן,דרגה 3,4938,קריסת מערכות מוחלטת,113,7976,1224,קריטית,כן
28/11/2017,מקסיקו,צפון אמריקה,הוריקן,דרגה 4,12856,קריסת מערכות מוחלטת,122,27564,391,קריטית,כן
23/02/2014,הודו,אסיה,הוריקן,דרגה 1,5603,קריסת מערכות מוחלטת,42,7387,416,קריטית,כן
15/04/2022,יפן,אסיה,הוריקן,דרגה 1,12135,קריסת מערכות מוחלטת,242,2739,1180,קריטית,כן
01/10/2005,"ארה""ב",צפון אמריקה,הוריקן,דרגה 4,14267,קריסת מערכות מוחלטת,253,41397,1496,קריטית,כן
27/06/2016,הודו,אסיה,הוריקן,דרגה 5,12376,קריסת מערכות מוחלטת,85,26888,1698,קריטית,כן
28/02/2002,צ'ילה,דרום אמריקה,הוריקן,דרגה 5,3298,קריסת מערכות מוחלטת,48,24105,1868,קריטית,כן
22/04/2022,הודו,אסיה,הוריקן,דרגה 5,1870,קריסת מערכות מוחלטת,144,45413,9,קריטית,כן
08/12/2001,איטליה,אירופה,הוריקן,דרגה 2,7043,קריסת מערכות מוחלטת,269,22027,1683,קריטית,כן
02/04/2019,מקסיקו,צפון אמריקה,הוריקן,דרגה 2,8974,קריסת מערכות מוחלטת,94,10342,1157,קריטית,כן
02/06/2006,אינדונזיה,אסיה,הוריקן,דרגה 2,14884,קריסת מערכות מוחלטת,250,28892,1407,קריטית,כן
21/11/2011,אינדונזיה,אסיה,הוריקן,דרגה 1,5066,קריסת מערכות מוחלטת,137,11428,924,קריטית,כן
03/04/2010,אוסטרליה,אוקיאניה,הוריקן,דרגה 4,13598,קריסת מערכות מוחלטת,225,49064,2000,קריטית,כן
05/07/2010,אינדונזיה,אסיה,הוריקן,דרגה 5,5424,קריסת מערכות מוחלטת,244,27289,1499,קריטית,כן
11/05/2015,הודו,אסיה,הוריקן,דרגה 5,12029,קריסת מערכות מוחלטת,51,11478,565,קריטית,כן
19/08/2012,טורקיה,אירופה,הוריקן,דרגה 1,1875,קריסת מערכות מוחלטת,185,41918,1174,קריטית,כן
23/06/2014,צ'ילה,דרום אמריקה,הוריקן,דרגה 3,12381,קריסת מערכות מוחלטת,101,13895,296,קריטית,כן
20/12/2005,אינדונזיה,אסיה,הוריקן,דרגה 3,2468,קריסת מערכות מוחלטת,81,16900,1389,קריטית,כן
10/05/2008,צ'ילה,דרום אמריקה,הוריקן,דרגה 1,1637,קריסת מערכות מוחלטת,197,28580,943,קריטית,כן
17/05/2012,הודו,אסיה,הוריקן,דרגה 4,8587,קריסת מערכות מוחלטת,198,16137,1032,קריטית,כן
09/03/2018,טורקיה,אירופה,הוריקן,דרגה 2,3927,קריסת מערכות מוחלטת,4,10313,790,קריטית,כן
10/12/2015,יפן,אסיה,הוריקן,דרגה 5,13139,קריסת מערכות מוחלטת,174,49505,1161,קריטית,כן
20/02/2023,אינדונזיה,אסיה,הוריקן,דרגה 4,4978,קריסת מערכות מוחלטת,95,27811,1578,קריטית,כן
16/11/2022,הודו,אסיה,הוריקן,דרגה 2,10890,קריסת מערכות מוחלטת,8,19089,251,קריטית,כן
30/07/2005,מקסיקו,צפון אמריקה,הוריקן,דרגה 5,1130,קריסת מערכות מוחלטת,54,46615,1636,קריטית,כן
09/08/2024,הודו,אסיה,הוריקן,דרגה 1,3149,קריסת מערכות מוחלטת,95,24226,183,קריטית,כן
29/10/2013,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,4134,קריסת מערכות מוחלטת,117,28015,261,קריטית,כן
24/05/2020,יפן,אסיה,הוריקן,דרגה 1,7697,קריסת מערכות מוחלטת,62,39329,1345,קריטית,כן
13/01/2016,קנדה,צפון אמריקה,הוריקן,דרגה 3,6276,קריסת מערכות מוחלטת,134,36138,1717,קריטית,כן
04/11/2015,הודו,אסיה,הוריקן,דרגה 4,4232,קריסת מערכות מוחלטת,216,9472,791,קריטית,כן
14/09/2001,קנדה,צפון אמריקה,הוריקן,דרגה 2,1053,קריסת מערכות מוחלטת,229,39791,90,קריטית,כן
21/04/2015,איטליה,אירופה,הוריקן,דרגה 3,7868,קריסת מערכות מוחלטת,30,46455,502,קריטית,כן
08/08/2001,קנדה,צפון אמריקה,הוריקן,דרגה 4,7334,קריסת מערכות מוחלטת,26,1695,66,קריטית,כן
04/12/2014,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,3364,קריסת מערכות מוחלטת,155,6464,1781,קריטית,כן
02/07/2011,איטליה,אירופה,הוריקן,דרגה 3,5281,קריסת מערכות מוחלטת,257,7827,1111,קריטית,כן
27/08/2021,צ'ילה,דרום אמריקה,הוריקן,דרגה 4,4787,קריסת מערכות מוחלטת,176,464,893,קריטית,כן
22/11/2003,מקסיקו,צפון אמריקה,הוריקן,דרגה 3,5792,קריסת מערכות מוחלטת,97,10816,1858,קריטית,כן
20/10/2012,יפן,אסיה,הוריקן,דרגה 1,4341,קריסת מערכות מוחלטת,230,16244,1078,קריטית,כן
22/09/2019,צ'ילה,דרום אמריקה,הוריקן,דרגה 3,7768,קריסת מערכות מוחלטת,69,918,1117,קריטית,כן
06/02/2011,"ארה""ב",צפון אמריקה,הוריקן,דרגה 1,1593,קריסת מערכות מוחלטת,28,32457,1421,קריטית,כן
21/06/2018,אוסטרליה,אוקיאניה,הוריקן,דרגה 5,10530,קריסת מערכות מוחלטת,254,34183,1460,קריטית,כן
19/05/2021,קנדה,צפון אמריקה,הוריקן,דרגה 1,7426,קריסת מערכות מוחלטת,171,49341,342,קריטית,כן
08/12/2012,מקסיקו,צפון אמריקה,הוריקן,דרגה 1,2650,קריסת מערכות מוחלטת,195,19616,1350,קריטית,כן
18/09/2022,יפן,אסיה,הוריקן,דרגה 4,6625,קריסת מערכות מוחלטת,248,11398,903,קריטית,כן
08/09/2017,קנדה,צפון אמריקה,הוריקן,דרגה 1,7874,קריסת מערכות מוחלטת,27,34425,850,קריטית,כן
09/05/2011,יפן,אסיה,הוריקן,דרגה 3,8291,קריסת מערכות מוחלטת,200,5498,699,קריטית,כן
13/11/2014,אינדונזיה,אסיה,הוריקן,דרגה 1,11157,קריסת מערכות מוחלטת,179,41589,982,קריטית,כן
20/12/2011,מקסיקו,צפון אמריקה,הוריקן,דרגה 3,5264,קריסת מערכות מוחלטת,230,33991,639,קריטית,כן
13/08/2018,אינדונזיה,אסיה,הוריקן,דרגה 3,13091,קריסת מערכות מוחלטת,132,343,809,קריטית,כן
28/09/2012,יפן,אסיה,הוריקן,דרגה 4,10407,קריסת מערכות מוחלטת,32,38172,1665,קריטית,כן
25/01/2016,אוסטרליה,אוקיאניה,הוריקן,דרגה 3,6563,קריסת מערכות מוחלטת,153,18598,1921,קריטית,כן
02/05/2019,יפן,אסיה,הוריקן,דרגה 3,14293,קריסת מערכות מוחלטת,298,38456,69,קריטית,כן
03/04/2006,טורקיה,אירופה,הוריקן,דרגה 4,6441,קריסת מערכות מוחלטת,90,33472,453,קריטית,כן
09/09/2023,מקסיקו,צפון אמריקה,הוריקן,דרגה 1,4931,קריסת מערכות מוחלטת,184,17874,731,קריטית,כן
29/12/2009,טורקיה,אירופה,הוריקן,דרגה 4,13216,קריסת מערכות מוחלטת,58,32459,1972,קריטית,כן
27/10/2011,אינדונזיה,אסיה,הוריקן,דרגה 4,7678,קריסת מערכות מוחלטת,218,35388,1941,קריטית,כן
15/12/2005,איטליה,אירופה,הוריקן,דרגה 2,14192,קריסת מערכות מוחלטת,156,17008,1932,קריטית,כן
11/10/2002,מקסיקו,צפון אמריקה,הוריקן,דרגה 1,5338,קריסת מערכות מוחלטת,45,767,91,קריטית,כן
08/09/2002,יפן,אסיה,הוריקן,דרגה 5,13419,קריסת מערכות מוחלטת,60,16380,1543,קריטית,כן
28/11/2019,קנדה,צפון אמריקה,הוריקן,דרגה 4,2566,קריסת מערכות מוחלטת,222,42484,1091,קריטית,כן
13/01/2018,הודו,אסיה,הוריקן,דרגה 5,6077,קריסת מערכות מוחלטת,158,5046,274,קריטית,כן
06/10/2024,איטליה,אירופה,הוריקן,דרגה 2,3204,קריסת מערכות מוחלטת,61,10266,1715,קריטית,כן
16/04/2002,איטליה,אירופה,הוריקן,דרגה 3,10245,קריסת מערכות מוחלטת,29,49569,1962,קריטית,כן
08/03/2000,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,5410,קריסת מערכות מוחלטת,245,44327,1621,קריטית,כן
17/02/2013,איטליה,אירופה,הוריקן,דרגה 3,14965,קריסת מערכות מוחלטת,288,36378,68,קריטית,כן
10/09/2025,איטליה,אירופה,הוריקן,דרגה 1,12854,קריסת מערכות מוחלטת,275,11947,1213,קריטית,כן
27/01/2015,קנדה,צפון אמריקה,הוריקן,דרגה 5,13199,קריסת מערכות מוחלטת,45,39356,1289,קריטית,כן
05/02/2003,מקסיקו,צפון אמריקה,הוריקן,דרגה 3,1381,קריסת מערכות מוחלטת,158,24084,817,קריטית,כן
01/01/2009,אינדונזיה,אסיה,הוריקן,דרגה 4,13595,קריסת מערכות מוחלטת,146,41152,1797,קריטית,כן
27/01/2022,קנדה,צפון אמריקה,הוריקן,דרגה 5,9018,קריסת מערכות מוחלטת,157,26021,681,קריטית,כן
18/10/2008,איטליה,אירופה,הוריקן,דרגה 4,4282,קריסת מערכות מוחלטת,209,28114,125,קריטית,כן
29/10/2006,מקסיקו,צפון אמריקה,הוריקן,דרגה 5,1027,קריסת מערכות מוחלטת,65,20169,428,קריטית,כן
17/02/2019,הודו,אסיה,הוריקן,דרגה 1,4110,קריסת מערכות מוחלטת,185,35477,664,קריטית,כן
21/01/2000,אינדונזיה,אסיה,הוריקן,דרגה 1,14740,קריסת מערכות מוחלטת,113,40046,1712,קריטית,כן
09/01/2013,אינדונזיה,אסיה,הוריקן,דרגה 5,3655,קריסת מערכות מוחלטת,194,1916,1913,קריטית,כן
27/06/2015,אינדונזיה,אסיה,הוריקן,דרגה 1,14764,קריסת מערכות מוחלטת,269,25368,1529,קריטית,כן
24/06/2024,אינדונזיה,אסיה,הוריקן,דרגה 2,6467,קריסת מערכות מוחלטת,103,6917,134,קריטית,כן
22/08/2015,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,4578,קריסת מערכות מוחלטת,282,38367,1126,קריטית,כן
13/02/2000,מקסיקו,צפון אמריקה,הוריקן,דרגה 5,6608,קריסת מערכות מוחלטת,271,31967,1529,קריטית,כן
06/11/2023,איטליה,אירופה,הוריקן,דרגה 1,11389,קריסת מערכות מוחלטת,257,16222,257,קריטית,כן
21/07/2015,הודו,אסיה,הוריקן,דרגה 2,4808,קריסת מערכות מוחלטת,65,11303,1457,קריטית,כן
22/04/2021,איטליה,אירופה,הוריקן,דרגה 5,1479,קריסת מערכות מוחלטת,36,45881,277,קריטית,כן
08/02/2018,איטליה,אירופה,הוריקן,דרגה 5,12391,קריסת מערכות מוחלטת,146,36710,1797,קריטית,כן
21/07/2004,קנדה,צפון אמריקה,הוריקן,דרגה 1,11742,קריסת מערכות מוחלטת,135,33110,1320,קריטית,כן
17/08/2002,אוסטרליה,אוקיאניה,הוריקן,דרגה 3,14589,קריסת מערכות מוחלטת,47,12260,1738,קריטית,כן
01/01/2026,איטליה,אירופה,הוריקן,דרגה 5,2324,קריסת מערכות מוחלטת,191,3172,121,קריטית,כן
31/03/2014,טורקיה,אירופה,הוריקן,דרגה 5,14456,קריסת מערכות מוחלטת,171,42640,1658,קריטית,כן
22/04/2021,איטליה,אירופה,הוריקן,דרגה 5,1428,קריסת מערכות מוחלטת,16,23491,720,קריטית,כן
04/05/2018,יפן,אסיה,הוריקן,דרגה 2,2745,קריסת מערכות מוחלטת,132,19824,410,קריטית,כן
12/02/2018,אינדונזיה,אסיה,הוריקן,דרגה 5,10966,קריסת מערכות מוחלטת,194,40820,1409,קריטית,כן
31/05/2021,טורקיה,אירופה,הוריקן,דרגה 4,2767,קריסת מערכות מוחלטת,228,30928,1797,קריטית,כן
26/05/2001,הודו,אסיה,הוריקן,דרגה 4,8272,קריסת מערכות מוחלטת,205,48569,1981,קריטית,כן
28/10/2006,איטליה,אירופה,הוריקן,דרגה 5,6118,קריסת מערכות מוחלטת,248,29443,1184,קריטית,כן
05/06/2014,טורקיה,אירופה,הוריקן,דרגה 2,5220,קריסת מערכות מוחלטת,134,11162,934,קריטית,כן
02/08/2011,אוסטרליה,אוקיאניה,הוריקן,דרגה 4,13850,קריסת מערכות מוחלטת,55,29117,1652,קריטית,כן
12/07/2025,מקסיקו,צפון אמריקה,הוריקן,דרגה 3,13822,קריסת מערכות מוחלטת,173,23164,1784,קריטית,כן
12/02/2024,הודו,אסיה,הוריקן,דרגה 3,14060,קריסת מערכות מוחלטת,132,16477,88,קריטית,כן
01/12/2017,טורקיה,אירופה,הוריקן,דרגה 5,12791,קריסת מערכות מוחלטת,230,37232,425,קריטית,כן
18/03/2022,איטליה,אירופה,הוריקן,דרגה 3,3854,קריסת מערכות מוחלטת,239,40562,1187,קריטית,כן
23/08/2008,הודו,אסיה,הוריקן,דרגה 3,7279,קריסת מערכות מוחלטת,278,12627,97,קריטית,כן
27/02/2018,מקסיקו,צפון אמריקה,הוריקן,דרגה 2,1031,קריסת מערכות מוחלטת,157,31689,1820,קריטית,כן
24/04/2013,צ'ילה,דרום אמריקה,הוריקן,דרגה 2,13760,קריסת מערכות מוחלטת,235,48980,733,קריטית,כן
25/07/2002,טורקיה,אירופה,הוריקן,דרגה 1,6366,קריסת מערכות מוחלטת,180,31331,920,קריטית,כן
19/02/2007,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,6322,קריסת מערכות מוחלטת,201,46102,1064,קריטית,כן
30/03/2020,אוסטרליה,אוקיאניה,הוריקן,דרגה 3,8550,קריסת מערכות מוחלטת,99,19916,1798,קריטית,כן
29/02/2020,צ'ילה,דרום אמריקה,הוריקן,דרגה 2,9619,קריסת מערכות מוחלטת,224,46476,31,קריטית,כן
17/07/2019,מקסיקו,צפון אמריקה,הוריקן,דרגה 2,4299,קריסת מערכות מוחלטת,65,12761,319,קריטית,כן
20/08/2018,יפן,אסיה,הוריקן,דרגה 3,14130,קריסת מערכות מוחלטת,179,14482,810,קריטית,כן
06/07/2021,קנדה,צפון אמריקה,הוריקן,דרגה 5,13945,קריסת מערכות מוחלטת,64,5219,1074,קריטית,כן
18/03/2016,מקסיקו,צפון אמריקה,הוריקן,דרגה 4,3215,קריסת מערכות מוחלטת,2,22205,1985,קריטית,כן
01/03/2016,איטליה,אירופה,הוריקן,דרגה 2,2934,קריסת מערכות מוחלטת,227,28798,1721,קריטית,כן
17/05/2021,יפן,אסיה,הוריקן,דרגה 2,2303,קריסת מערכות מוחלטת,71,35047,1723,קריטית,כן
25/02/2021,אינדונזיה,אסיה,הוריקן,דרגה 4,10291,קריסת מערכות מוחלטת,187,1903,849,קריטית,כן
13/11/2020,קנדה,צפון אמריקה,הוריקן,דרגה 3,2234,קריסת מערכות מוחלטת,284,3788,1883,קריטית,כן
12/07/2021,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,3193,קריסת מערכות מוחלטת,111,34293,1324,קריטית,כן
11/11/2003,"ארה""ב",צפון אמריקה,הוריקן,דרגה 5,9584,קריסת מערכות מוחלטת,142,6067,1172,קריטית,כן
13/07/2000,אינדונזיה,אסיה,הוריקן,דרגה 5,2442,קריסת מערכות מוחלטת,286,12424,441,קריטית,כן
10/01/2013,אינדונזיה,אסיה,הוריקן,דרגה 2,8744,קריסת מערכות מוחלטת,190,24046,756,קריטית,כן
12/04/2018,צ'ילה,דרום אמריקה,הוריקן,דרגה 3,7588,קריסת מערכות מוחלטת,100,34382,382,קריטית,כן
11/01/2018,אוסטרליה,אוקיאניה,הוריקן,דרגה 4,12695,קריסת מערכות מוחלטת,123,29493,1819,קריטית,כן
10/03/2006,יפן,אסיה,הוריקן,דרגה 3,1163,קריסת מערכות מוחלטת,79,32970,1203,קריטית,כן
09/02/2017,איטליה,אירופה,הוריקן,דרגה 5,5317,קריסת מערכות מוחלטת,22,3746,116,קריטית,כן
